system:index,B11_post,B11_pre,B12_post,B12_pre,B4_post,B4_pre,B8A_post,B8A_pre,NBR_post,NBR_pre,area,dNBR,label,latitude,longitude,.geo
2_1_447,0.2754499912261963,0.29249998927116394,0.2572999894618988,0.2076999992132187,0.08195000141859055,0.08510000258684158,0.13044999539852142,0.19599999487400055,-0.3271437756703976,-0.028981928438399626,Karkaraly,0.2981618344783783,1,49.182050306932645,75.32408442821293,"{""type"":""Point"",""coordinates"":[75.32408442821293,49.182050306932645]}"
2_1_452,0.2199999988079071,0.2833000123500824,0.23119999468326569,0.19830000400543213,0.08609999716281891,0.10159999877214432,0.11015000194311142,0.17659999430179596,-0.3546213386158281,-0.05788212803845668,Karkaraly,0.29673922061920166,1,49.204704082423504,75.38496902302079,"{""type"":""Point"",""coordinates"":[75.38496902302079,49.204704082423504]}"
2_1_453,0.21150000393390656,0.2754000127315521,0.23549999296665192,0.1981000006198883,0.05460000038146973,0.08299999684095383,0.08974999934434891,0.17409999668598175,-0.4481168241902318,-0.06448147261587324,Karkaraly,0.38363534212112427,1,49.21145610025004,75.35604081912123,"{""type"":""Point"",""coordinates"":[75.35604081912123,49.21145610025004]}"
2_1_466,0.21649999916553497,0.2621999979019165,0.2069000005722046,0.18400000035762787,0.06525000184774399,0.08500000089406967,0.10485000163316727,0.19460000097751617,-0.3273456237918797,0.027997888490510017,Karkaraly,0.3553435206413269,1,49.214942334546,75.38870834880893,"{""type"":""Point"",""coordinates"":[75.38870834880893,49.214942334546]}"
2_1_468,0.17994999885559082,0.2581000030040741,0.19769999384880066,0.18299999833106995,0.04565000161528587,0.07689999788999557,0.07530000060796738,0.1509000062942505,-0.44835163269652156,-0.0961365426539597,Karkaraly,0.35221508145332336,1,49.19694722857051,75.3451058918198,"{""type"":""Point"",""coordinates"":[75.3451058918198,49.19694722857051]}"
2_1_471,0.24404999613761902,0.22699999809265137,0.1517000049352646,0.13130000233650208,0.07204999774694443,0.06120000034570694,0.1595499962568283,0.24199999868869781,0.025220855555014035,0.2965443237293826,Karkaraly,0.27132347226142883,1,49.2342159738154,75.3405875935214,"{""type"":""Point"",""coordinates"":[75.3405875935214,49.2342159738154]}"
2_1_473,0.1984499990940094,0.23070000112056732,0.21150000393390656,0.1316000074148178,0.04554999992251396,0.07079999893903732,0.07829999923706055,0.2531000077724457,-0.45962734037054115,0.3158305057474051,Karkaraly,0.7754578590393066,1,49.19038528896364,75.41884897249336,"{""type"":""Point"",""coordinates"":[75.41884897249336,49.19038528896364]}"
2_1_476,0.21539999544620514,0.20399999618530273,0.19339999556541443,0.1151999980211258,0.05889999866485596,0.05445000156760216,0.13099999725818634,0.28744998574256897,-0.19235511617646484,0.42779087214003814,Karkaraly,0.6201459765434265,1,49.19261193132543,75.41954928196552,"{""type"":""Point"",""coordinates"":[75.41954928196552,49.19261193132543]}"
2_1_478,0.2203499972820282,0.23409999907016754,0.20200000703334808,0.1193000003695488,0.05014999955892563,0.057500001043081284,0.11720000207424164,0.30709999799728394,-0.2656641683569743,0.44043151582324924,Karkaraly,0.7060956954956055,1,49.202157408195475,75.4219425653162,"{""type"":""Point"",""coordinates"":[75.4219425653162,49.202157408195475]}"
2_1_484,0.1704999953508377,0.2696000039577484,0.18205000460147858,0.17139999568462372,0.0377499982714653,0.09950000047683716,0.08470000326633453,0.22589999437332153,-0.3649484478492891,0.13717593771081926,Karkaraly,0.5021243691444397,1,49.19504559055278,75.41842259791446,"{""type"":""Point"",""coordinates"":[75.41842259791446,49.19504559055278]}"
2_1_489,0.19979999959468842,0.25780001282691956,0.21574999392032623,0.1696999967098236,0.04800000041723251,0.0828000009059906,0.08184999972581863,0.17479999363422394,-0.44993278579743057,0.014804055347888489,Karkaraly,0.46473684906959534,1,49.215938879443,75.3690033505379,"{""type"":""Point"",""coordinates"":[75.3690033505379,49.215938879443]}"
2_1_490,0.23884999752044678,0.2953999936580658,0.2398499995470047,0.20640000700950623,0.06469999998807907,0.08829999715089798,0.10700000077486038,0.1858000010251999,-0.3830185920393946,-0.05252423651782134,Karkaraly,0.33049434423446655,1,49.18925173254674,75.33596317023637,"{""type"":""Point"",""coordinates"":[75.33596317023637,49.18925173254674]}"
2_1_497,0.19439999759197235,0.2700999975204468,0.21774999797344208,0.17919999361038208,0.05204999819397926,0.08489999920129776,0.07885000109672546,0.19359999895095825,-0.4683074757658938,0.038626624538375766,Karkaraly,0.5069341063499451,1,49.206347139069806,75.34377942685124,"{""type"":""Point"",""coordinates"":[75.34377942685124,49.206347139069806]}"
2_1_498,0.21279999613761902,0.27559998631477356,0.22509999573230743,0.17960000038146973,0.05274999886751175,0.09040000289678574,0.08865000307559967,0.20730000734329224,-0.43490037665386266,0.07159474388413067,Karkaraly,0.5064951181411743,1,49.21230189493938,75.37847699044882,"{""type"":""Point"",""coordinates"":[75.37847699044882,49.21230189493938]}"
2_1_499,0.2480500042438507,0.29910001158714294,0.24089999496936798,0.2125999927520752,0.07569999992847443,0.09369999915361404,0.1172500029206276,0.18930000066757202,-0.34524638497057597,-0.057974601806410814,Karkaraly,0.28727179765701294,1,49.19035446093788,75.33376554268987,"{""type"":""Point"",""coordinates"":[75.33376554268987,49.19035446093788]}"
2_1_500,0.1776999980211258,0.2632000148296356,0.19965000450611115,0.17579999566078186,0.05635000020265579,0.0851999968290329,0.07495000213384628,0.1720999926328659,-0.4541150741331395,-0.010635249072767826,Karkaraly,0.44347983598709106,1,49.208938169091056,75.37306684034489,"{""type"":""Point"",""coordinates"":[75.37306684034489,49.208938169091056]}"
2_1_501,0.2370000034570694,0.295199990272522,0.241349995136261,0.2101999968290329,0.06414999812841415,0.08720000088214874,0.10320000350475311,0.17309999465942383,-0.4009577482989517,-0.09679103311622786,Karkaraly,0.304166704416275,1,49.18656892408636,75.36894918110056,"{""type"":""Point"",""coordinates"":[75.36894918110056,49.18656892408636]}"
