system:index,B11_post,B11_pre,B12_post,B12_pre,B4_post,B4_pre,B8A_post,B8A_pre,NBR_post,NBR_pre,area,dNBR,label,.geo
2_2_739,0.17775000631809235,0.1899999976158142,0.11550000309944153,0.12729999423027039,0.06565000116825104,0.07415000349283218,0.19769999384880066,0.20045000314712524,0.2624520803010834,0.22318843478929007,Karkaraly,-0.03926364704966545,0,"{""type"":""Point"",""coordinates"":[75.31543369502306,49.23035785458495]}"
2_2_748,0.19439999759197235,0.2037999927997589,0.12404999881982803,0.13210000097751617,0.05534999817609787,0.06560000032186508,0.1899999976158142,0.21279999613761902,0.2099984064464118,0.2339808519428993,Karkaraly,0.023982444778084755,0,"{""type"":""Point"",""coordinates"":[75.35551316835371,49.22510892813648]}"
2_2_750,0.32464998960494995,0.3203999996185303,0.23430000245571136,0.22540000081062317,0.11649999767541885,0.12200000137090683,0.21369999647140503,0.22390000522136688,-0.045982156325088924,-0.00333851673518448,Karkaraly,0.04264364019036293,0,"{""type"":""Point"",""coordinates"":[75.32882208580344,49.17065527041616]}"
2_2_761,0.29045000672340393,0.29980000853538513,0.21275000274181366,0.2168000042438507,0.09709999710321426,0.1006999984383583,0.16095000505447388,0.18129999935626984,-0.13861385230577022,-0.08917358594962374,Karkaraly,0.04944026470184326,0,"{""type"":""Point"",""coordinates"":[75.3830899335409,49.179657810869834]}"
2_2_764,0.2934499979019165,0.3075999915599823,0.23154999315738678,0.2386000007390976,0.10970000177621841,0.12380000203847885,0.17479999363422394,0.1956000030040741,-0.13965793372171575,-0.0990326977529413,Karkaraly,0.04062523692846298,0,"{""type"":""Point"",""coordinates"":[75.37150498570375,49.176679521952224]}"
2_2_766,0.2766999900341034,0.2912999987602234,0.21664999425411224,0.2354000061750412,0.12210000306367874,0.11699999868869781,0.21899999678134918,0.22910000383853912,0.005394244406275337,-0.013562975674247855,Karkaraly,-0.018957220017910004,0,"{""type"":""Point"",""coordinates"":[75.41607194358139,49.23334955575245]}"
2_2_769,0.2533000111579895,0.26510000228881836,0.1911499947309494,0.20149999856948853,0.08569999784231186,0.09070000052452087,0.21060000360012054,0.22280000150203705,0.0484132145612182,0.05020033685825575,Karkaraly,0.0017871223390102386,0,"{""type"":""Point"",""coordinates"":[75.3384273324892,49.23604459791587]}"
2_2_777,0.2912999987602234,0.33880001306533813,0.22769999504089355,0.2721000015735626,0.18700000643730164,0.21459999680519104,0.2694000005722046,0.30219998955726624,0.08388655381072846,0.052411611437491144,Karkaraly,-0.031474944204092026,0,"{""type"":""Point"",""coordinates"":[75.37853628610318,49.17296299894364]}"
2_2_780,0.2886500060558319,0.2987000048160553,0.212349995970726,0.21709999442100525,0.09350000321865082,0.0957999974489212,0.16850000619888306,0.18940000236034393,-0.11513716560861315,-0.06814266243539668,Karkaraly,0.04699450358748436,0,"{""type"":""Point"",""coordinates"":[75.38275417671166,49.1813690016338]}"
2_2_782,0.3086499869823456,0.319599986076355,0.24410000443458557,0.26080000400543213,0.12759999930858612,0.1257999986410141,0.2446500062942505,0.2572999894618988,0.0011253234733330044,-0.00675548077140445,Karkaraly,-0.007880804128944874,0,"{""type"":""Point"",""coordinates"":[75.35895796372056,49.24001613716761]}"
2_2_784,0.15489999949932098,0.16660000383853912,0.07180000096559525,0.07699999958276749,0.041600000113248825,0.02879999950528145,0.3075999915599823,0.38199999928474426,0.6215076311012062,0.6644880184193935,Karkaraly,0.042980387806892395,0,"{""type"":""Point"",""coordinates"":[75.44725543721951,49.234107307944065]}"
2_2_800,0.2513499855995178,0.28139999508857727,0.19044999778270721,0.21469999849796295,0.08569999784231186,0.10140000283718109,0.2033499926328659,0.2190999984741211,0.03275773276821429,0.010142923021830477,Karkaraly,-0.02261481061577797,0,"{""type"":""Point"",""coordinates"":[75.41421800645212,49.23565201887113]}"
2_2_812,0.3093000054359436,0.32170000672340393,0.2476000040769577,0.26460000872612,0.13120000064373016,0.14180000126361847,0.22540000081062317,0.23829999566078186,-0.04693446730853812,-0.05229670478408754,Karkaraly,-0.005362237337976694,0,"{""type"":""Point"",""coordinates"":[75.39983131266362,49.239619696484915]}"
2_2_828,0.27204999327659607,0.29109999537467957,0.20794999599456787,0.21400000154972076,0.07609999924898148,0.08389999717473984,0.22224999964237213,0.24860000610351562,0.03324036214047874,0.07479464760348842,Karkaraly,0.0415542870759964,0,"{""type"":""Point"",""coordinates"":[75.3787643795264,49.23390402464941]}"
2_2_831,0.15610000491142273,0.1859000027179718,0.09220000356435776,0.11469999700784683,0.035599999129772186,0.03629999980330467,0.19634999334812164,0.22100000083446503,0.36094261271246453,0.3166517858500268,Karkaraly,-0.044290825724601746,0,"{""type"":""Point"",""coordinates"":[75.40676964540016,49.22617151644659]}"
2_2_836,0.1339000016450882,0.15629999339580536,0.07985000312328339,0.09570000320672989,0.05350000038743019,0.05999999865889549,0.1628500074148178,0.20340000092983246,0.34198599376865024,0.3600802281297501,Karkaraly,0.01809423416852951,0,"{""type"":""Point"",""coordinates"":[75.30861658590413,49.23880054333607]}"
2_2_847,0.3070499897003174,0.32214999198913574,0.25995001196861267,0.2624000012874603,0.13429999351501465,0.1362999975681305,0.21359999477863312,0.22955000400543213,-0.09787776692973119,-0.06677507252483976,Karkaraly,0.03110269457101822,0,"{""type"":""Point"",""coordinates"":[75.38787400674903,49.239190705988314]}"
2_2_864,0.2533999979496002,0.2646999955177307,0.18520000576972961,0.19449999928474426,0.0868000015616417,0.09350000321865082,0.15514999628067017,0.17800000309944153,-0.08829149201711942,-0.044295291489112834,Karkaraly,0.04399619996547699,0,"{""type"":""Point"",""coordinates"":[75.3806418676609,49.174380117343134]}"
2_2_873,0.2651999890804291,0.274399995803833,0.2037000060081482,0.2069000005722046,0.10095000267028809,0.09880000352859497,0.20600000023841858,0.20909999310970306,0.0056138496343741745,0.00528844368007536,Karkaraly,-3.2540594111196697E-4,0,"{""type"":""Point"",""coordinates"":[75.45202257292237,49.22590228065449]}"
2_2_879,0.11050000041723251,0.13670000433921814,0.060499999672174454,0.08380000293254852,0.02810000069439411,0.03799999877810478,0.1537500023841858,0.17000000178813934,0.43523921501518187,0.3396374990239094,Karkaraly,-0.09560171514749527,0,"{""type"":""Point"",""coordinates"":[75.31970050641257,49.23654867122941]}"
2_2_883,0.17579999566078186,0.1949000060558319,0.11490000039339066,0.13314999639987946,0.05380000174045563,0.0632999986410141,0.18915000557899475,0.1960500031709671,0.24420326830168743,0.19106927962662723,Karkaraly,-0.05313398689031601,0,"{""type"":""Point"",""coordinates"":[75.31456135811904,49.233629394377225]}"
2_2_906,0.1858000010251999,0.22040000557899475,0.1287499964237213,0.16329999268054962,0.06395000219345093,0.07909999787807465,0.18404999375343323,0.20900000631809235,0.17679027834493447,0.1227505070117108,Karkaraly,-0.05403977259993553,0,"{""type"":""Point"",""coordinates"":[75.45061405028159,49.23889029637592]}"
2_2_908,0.11945000290870667,0.1408499926328659,0.0710500031709671,0.08749999850988388,0.033649999648332596,0.043150000274181366,0.16290000081062317,0.17499999701976776,0.39260524076282477,0.3333333333333333,Karkaraly,-0.059271905571222305,0,"{""type"":""Point"",""coordinates"":[75.30443026382224,49.239543803050665]}"
2_2_915,0.35295000672340393,0.3571000099182129,0.2849000096321106,0.2953000068664551,0.14710000157356262,0.149399995803833,0.2235500067472458,0.23199999332427979,-0.12066083372704889,-0.12004554052584568,Karkaraly,6.152932182885706E-4,0,"{""type"":""Point"",""coordinates"":[75.38399454392321,49.23330873656321]}"
2_2_922,0.3167499899864197,0.31949999928474426,0.25975000858306885,0.26089999079704285,0.11749999970197678,0.11879999935626984,0.1915999948978424,0.21080000698566437,-0.15099149919051386,-0.10621154133322146,Karkaraly,0.044779956340789795,0,"{""type"":""Point"",""coordinates"":[75.32205786437042,49.17444064071842]}"
2_2_924,0.24889999628067017,0.1776999980211258,0.24824999272823334,0.1898999959230423,0.08344999700784683,0.06040000170469284,0.12030000239610672,0.0812000036239624,-0.3471713255319928,-0.4009590279627903,Karkaraly,-0.053787700831890106,0,"{""type"":""Point"",""coordinates"":[75.45945086074595,49.209812650357854]}"
2_2_928,0.3080500066280365,0.3203999996185303,0.2402999997138977,0.24770000576972961,0.10215000063180923,0.11209999769926071,0.17569999396800995,0.19795000553131104,-0.15528847770916995,-0.11163468860502732,Karkaraly,0.04365378990769386,0,"{""type"":""Point"",""coordinates"":[75.32899109186285,49.17411338548335]}"
2_2_935,0.29649999737739563,0.3091999888420105,0.22200000286102295,0.2305999994277954,0.1136000007390976,0.11739999800920486,0.18424999713897705,0.20810000598430634,-0.09292309100811298,-0.05128788047849065,Karkaraly,0.04163521155714989,0,"{""type"":""Point"",""coordinates"":[75.34707814743074,49.17141628118026]}"
2_2_954,0.18610000610351562,0.2143000066280365,0.12549999356269836,0.14800000190734863,0.05195000022649765,0.056299999356269836,0.17149999737739563,0.18979999423027039,0.1548821724508929,0.12374183777637618,Karkaraly,-0.031140334904193878,0,"{""type"":""Point"",""coordinates"":[75.41500657559358,49.23720435880727]}"
2_2_966,0.31869998574256897,0.32589998841285706,0.2642500102519989,0.267300009727478,0.12070000171661377,0.12680000066757202,0.1979999989271164,0.2143000066280365,-0.14332073555289335,-0.1100498365853817,Karkaraly,0.03327089920639992,0,"{""type"":""Point"",""coordinates"":[75.32028590788099,49.17429065459001]}"
2_2_971,0.19235000014305115,0.2134000062942505,0.12995000183582306,0.14569999277591705,0.06340000033378601,0.06629999727010727,0.18039999902248383,0.20270000398159027,0.16255839228978824,0.16360508535063578,Karkaraly,0.0010466930689290166,0,"{""type"":""Point"",""coordinates"":[75.44854822247481,49.23832200784931]}"
2_2_976,0.3366999924182892,0.35440000891685486,0.27709999680519104,0.2906999886035919,0.11490000039339066,0.11879999935626984,0.23194999992847443,0.24535000324249268,-0.08869462168043006,-0.08460029111262543,Karkaraly,0.004094330593943596,0,"{""type"":""Point"",""coordinates"":[75.38243225612757,49.23597356757711]}"
2_2_984,0.19664999842643738,0.2282000035047531,0.13920000195503235,0.1607999950647354,0.07880000025033951,0.09719999879598618,0.18160000443458557,0.2011999934911728,0.1321695811566088,0.11160220912603122,Karkaraly,-0.02056737244129181,0,"{""type"":""Point"",""coordinates"":[75.31134060401554,49.233532163522554]}"
2_2_986,0.14695000648498535,0.17579999566078186,0.09404999762773514,0.11365000158548355,0.041600000113248825,0.05270000174641609,0.1785999983549118,0.1949000060558319,0.31010453685302064,0.26332847985147423,Karkaraly,-0.04677605628967285,0,"{""type"":""Point"",""coordinates"":[75.30766758925316,49.23507896097822]}"
